timestamp,price
2014-12-05,373.97
2014-12-06,374.36
2014-12-07,376.02
2014-12-08,366.99
2014-12-09,352.53
2014-12-10,349.99
2014-12-11,357.0
2014-12-12,356.51
2014-12-13,348.63
2014-12-14,353.87
2014-12-15,351.86
2014-12-16,335.47
2014-12-17,317.36
2014-12-18,317.11
2014-12-19,315.71
2014-12-20,325.34
2014-12-21,327.92
2014-12-22,332.18
2014-12-23,336.3
2014-12-24,325.7
2014-12-25,318.38
2014-12-26,329.24
2014-12-27,314.0
2014-12-28,317.66
2014-12-29,312.7
2014-12-30,314.0
2014-12-31,316.67
2015-01-01,315.38
2015-01-02,315.95
2015-01-03,300.0
2015-01-04,267.46
2015-01-05,276.8
2015-01-06,276.8
2015-01-07,276.8
2015-01-08,276.8
2015-01-09,276.8
2015-01-10,278.86
2015-01-11,271.0
2015-01-12,270.97
2015-01-13,232.55
2015-01-14,180.79
2015-01-15,218.83
2015-01-16,206.6
2015-01-17,198.56
2015-01-18,209.34
2015-01-19,212.28
2015-01-20,211.78
2015-01-21,214.53
2015-01-22,233.87
2015-01-23,232.9
2015-01-24,244.77
2015-01-25,247.91
2015-01-26,262.98
2015-01-27,265.59
2015-01-28,239.01
2015-01-29,235.45
2015-01-30,231.6
2015-01-31,230.59
2015-02-01,224.0
2015-02-02,226.1
2015-02-03,233.57
2015-02-04,224.83
2015-02-05,216.25
2015-02-06,223.01
2015-02-07,227.95
2015-02-08,222.49
2015-02-09,219.8
2015-02-10,220.11
2015-02-11,222.78
2015-02-12,222.54
2015-02-13,236.99
2015-02-14,246.57
2015-02-15,243.97
2015-02-16,237.38
2015-02-17,245.13
2015-02-18,234.97
2015-02-19,242.03
2015-02-20,243.97
2015-02-21,244.07
2015-02-22,234.15
2015-02-23,237.45
2015-02-24,240.18
2015-02-25,238.89
2015-02-26,237.65
2015-02-27,254.54
2015-02-28,252.0
2015-03-01,247.87
2015-03-02,264.96
2015-03-03,279.0
2015-03-04,279.38
2015-03-05,268.44
2015-03-06,272.12
2015-03-07,276.46
2015-03-08,274.75
2015-03-09,287.63
2015-03-10,293.0
2015-03-11,294.5
2015-03-12,297.22
2015-03-13,288.15
2015-03-14,283.43
2015-03-15,285.87
2015-03-16,289.0
2015-03-17,288.26
2015-03-18,265.58
2015-03-19,254.93
2015-03-20,262.97
2015-03-21,260.0
2015-03-22,268.25
2015-03-23,262.18
2015-03-24,247.41
2015-03-25,244.1
2015-03-26,253.0
2015-03-27,248.56
2015-03-28,251.19
2015-03-29,244.2
2015-03-30,247.85
2015-03-31,242.92
2015-04-01,245.0
2015-04-02,253.64
2015-04-03,254.07
2015-04-04,252.5
2015-04-05,256.98
2015-04-06,255.0
2015-04-07,255.52
